condition_id,method,bit_width,seed,task_id,length,position_fraction,target,prediction,correct,target_logit,target_margin
random_b3_s29,random,3,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,19.5,7.125
random_b3_s29,random,3,29,length2048_case0,2048,0.1,avocado,avocado,1,20.75,14.375
random_b3_s29,random,3,29,length2048_case1,2048,0.5,telescope,telescope,1,19.25,6.125
learned_b3_s29,learned,3,29,length512_case0,512,0.1,avocado,avocado,1,18.75,10.96875
learned_b3_s29,learned,3,29,length512_case1,512,0.5,telescope,telescope,1,17.5,5.1875
learned_b3_s29,learned,3,29,length1024_case0,1024,0.1,violin,violin,1,17.375,3.8125
learned_b3_s29,learned,3,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.0,6.9375
learned_b3_s29,learned,3,29,length2048_case0,2048,0.1,avocado,avocado,1,19.875,11.8125
learned_b3_s29,learned,3,29,length2048_case1,2048,0.5,telescope,telescope,1,16.375,5.5625
random_b3_s43,random,3,43,length512_case0,512,0.1,avocado,avocado,1,18.75,11.5625
random_b3_s43,random,3,43,length512_case1,512,0.5,telescope,telescope,1,17.125,6.4375
random_b3_s43,random,3,43,length1024_case0,1024,0.1,violin,avocado,0,15.875,0.0
random_b3_s43,random,3,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,19.25,6.375
random_b3_s43,random,3,43,length2048_case0,2048,0.1,avocado,avocado,1,20.125,14.9375
random_b3_s43,random,3,43,length2048_case1,2048,0.5,telescope,telescope,1,18.625,7.0625
learned_b3_s43,learned,3,43,length512_case0,512,0.1,avocado,avocado,1,19.375,8.1875
learned_b3_s43,learned,3,43,length512_case1,512,0.5,telescope,telescope,1,15.4375,5.0
learned_b3_s43,learned,3,43,length1024_case0,1024,0.1,violin,violin,1,17.875,3.375
learned_b3_s43,learned,3,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,19.0,7.75
learned_b3_s43,learned,3,43,length2048_case0,2048,0.1,avocado,avocado,1,19.375,13.75
learned_b3_s43,learned,3,43,length2048_case1,2048,0.5,telescope,telescope,1,19.125,7.375
identity_b4_snone,identity,4,,length512_case0,512,0.1,avocado,avocado,1,18.75,13.375
identity_b4_snone,identity,4,,length512_case1,512,0.5,telescope,telescope,1,14.25,1.375
identity_b4_snone,identity,4,,length1024_case0,1024,0.1,violin,violin,1,15.875,6.0
identity_b4_snone,identity,4,,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.25,6.4375
identity_b4_snone,identity,4,,length2048_case0,2048,0.1,avocado,avocado,1,19.5,14.71875
identity_b4_snone,identity,4,,length2048_case1,2048,0.5,telescope,telescope,1,16.25,2.125
random_b4_s17,random,4,17,length512_case0,512,0.1,avocado,avocado,1,19.625,11.375
random_b4_s17,random,4,17,length512_case1,512,0.5,telescope,telescope,1,16.875,5.75
random_b4_s17,random,4,17,length1024_case0,1024,0.1,violin,violin,1,17.875,3.75
random_b4_s17,random,4,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.0,6.9375
random_b4_s17,random,4,17,length2048_case0,2048,0.1,avocado,avocado,1,19.125,12.4375
random_b4_s17,random,4,17,length2048_case1,2048,0.5,telescope,telescope,1,18.875,7.25
learned_b4_s17,learned,4,17,length512_case0,512,0.1,avocado,avocado,1,18.875,11.5
learned_b4_s17,learned,4,17,length512_case1,512,0.5,telescope,telescope,1,17.875,5.875
learned_b4_s17,learned,4,17,length1024_case0,1024,0.1,violin,violin,1,18.25,4.0625
learned_b4_s17,learned,4,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,17.75,6.125
learned_b4_s17,learned,4,17,length2048_case0,2048,0.1,avocado,avocado,1,19.125,12.0625
learned_b4_s17,learned,4,17,length2048_case1,2048,0.5,telescope,telescope,1,18.125,6.9375
random_b4_s29,random,4,29,length512_case0,512,0.1,avocado,avocado,1,19.375,10.5625
random_b4_s29,random,4,29,length512_case1,512,0.5,telescope,telescope,1,17.125,4.25
random_b4_s29,random,4,29,length1024_case0,1024,0.1,violin,violin,1,17.0,2.625
random_b4_s29,random,4,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.0,6.0
random_b4_s29,random,4,29,length2048_case0,2048,0.1,avocado,avocado,1,20.125,13.28125
random_b4_s29,random,4,29,length2048_case1,2048,0.5,telescope,telescope,1,17.875,6.0
learned_b4_s29,learned,4,29,length512_case0,512,0.1,avocado,avocado,1,19.25,12.4375
learned_b4_s29,learned,4,29,length512_case1,512,0.5,telescope,telescope,1,17.25,5.5625
learned_b4_s29,learned,4,29,length1024_case0,1024,0.1,violin,violin,1,17.875,4.0
learned_b4_s29,learned,4,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.125,6.125
learned_b4_s29,learned,4,29,length2048_case0,2048,0.1,avocado,avocado,1,19.5,13.375
learned_b4_s29,learned,4,29,length2048_case1,2048,0.5,telescope,telescope,1,18.75,6.375
random_b4_s43,random,4,43,length512_case0,512,0.1,avocado,avocado,1,19.125,12.3125
random_b4_s43,random,4,43,length512_case1,512,0.5,telescope,telescope,1,17.75,5.3125
random_b4_s43,random,4,43,length1024_case0,1024,0.1,violin,violin,1,17.75,3.375
random_b4_s43,random,4,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.125,5.9375
random_b4_s43,random,4,43,length2048_case0,2048,0.1,avocado,avocado,1,19.875,13.125
random_b4_s43,random,4,43,length2048_case1,2048,0.5,telescope,telescope,1,19.125,7.6875
learned_b4_s43,learned,4,43,length512_case0,512,0.1,avocado,avocado,1,19.125,12.53125
learned_b4_s43,learned,4,43,length512_case1,512,0.5,telescope,telescope,1,18.375,6.375
learned_b4_s43,learned,4,43,length1024_case0,1024,0.1,violin,violin,1,18.375,4.625
learned_b4_s43,learned,4,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.625,7.1875
learned_b4_s43,learned,4,43,length2048_case0,2048,0.1,avocado,avocado,1,19.75,13.15625
learned_b4_s43,learned,4,43,length2048_case1,2048,0.5,telescope,telescope,1,18.0,5.1875
